text,author,tags
"
      “Don't cry because it's over, smile because it happened.”
  ","
    Dr. Seuss
  ","attributed-no-source,cry,crying,experience,happiness,joy,life,misattributed-dr-seuss,optimism,sadness,smile,smiling"
"
      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”
  ","
    Marilyn Monroe
  ","attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst"
"
      “Be yourself; everyone else is already taken.”
  ","
    Oscar Wilde
  ","attributed-no-source,be-yourself,honesty,inspirational,misattributed-oscar-wilde"
"
      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
  ","
    Albert Einstein
  ","attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe"
"
      “So many books, so little time.”
  ","
    Frank Zappa
  ","books,humor"
"
      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”
  ","
    Bernard M. Baruch
  ","ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter"
"
      “A room without books is like a body without a soul.”
  ","
    Marcus Tullius Cicero
  ","attributed-no-source,books,simile,soul"
"
      “You've gotta dance like there's nobody watching,","
    William W. Purkey
  ","dance,heaven,hurt,inspirational,life,love,sing"
"
      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
  ","
    Dr. Seuss
  ","attributed-no-source,dreams,love,reality,sleep"
"
      “You only live once, but if you do it right, once is enough.”
  ","
    Mae West
  ","humor,life"
"
      “Be the change that you wish to see in the world.”
  ","
    Mahatma Gandhi
  ","action,change,inspirational,philosophy,wish"
"
      “In three words I can sum up everything I've learned about life: it goes on.”
  ","
    Robert Frost
  ",life
"
      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”
  ","
    J.K. Rowling,
  ",
"
      “Don’t walk in front of me… I may not follow","
    Albert Camus
  ","attributed-no-source,friends,friendship,misattributed-albert-camus"
"
      “No one can make you feel inferior without your consent.”
  ","
    Eleanor Roosevelt,
  ","confidence,inspirational,wisdom"
"
      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”
  ","
    C.S. Lewis,
  ",friendship
"
      “If you tell the truth, you don't have to remember anything.”
  ","
    Mark Twain
  ","lies,lying,memory,truth"
"
      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”
  ","
    Maya Angelou
  ",
"
      “A friend is someone who knows all about you and still loves you.”
  ","
    Elbert Hubbard
  ","friend,friendship,knowledge,love"
"
      “Always forgive your enemies; nothing annoys them so much.”
  ","
    Oscar Wilde
  ","attributed-no-source,enemies,forgiveness,strategy"
"
      “To live is the rarest thing in the world. Most people exist, that is all.”
  ","
    Oscar Wilde
  ",life
"
      “Live as if you were to die tomorrow. Learn as if you were to live forever.”
  ","
    Mahatma Gandhi
  ","carpe-diem,education,inspirational,learning"
"
      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”
  ","
    Martin Luther King Jr.,
  ","darkness,drive-out,hate,inspirational,light,love,peace"
"
      “I am so clever that sometimes I don't understand a single word of what I am saying.”
  ","
    Oscar Wilde,
  ","intelligence,self-deprecation"
"
      “Without music, life would be a mistake.”
  ","
    Friedrich Nietzsche,
  ","inspirational,music,philosophy"
"
      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”
  ","
    Ralph Waldo Emerson
  ","accomplishment,attributed-no-source,be-yourself,conformity,individuality"
"
      “We accept the love we think we deserve.”
  ","
    Stephen Chbosky,
  ","inspirational,love"
"
      “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”
  ","
    Rob Siltanen
  ","advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers"
"
      “Insanity is doing the same thing, over and over again, but expecting different results.”
  ","
    Narcotics Anonymous
  ","humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein"
"
      “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”
  ","
    Marilyn Monroe
  ","attributed-no-source,misattributed-marilyn-monroe"
text,author,tags
"
      “Don't cry because it's over, smile because it happened.”
  ","
    Dr. Seuss
  ","attributed-no-source,cry,crying,experience,happiness,joy,life,misattributed-dr-seuss,optimism,sadness,smile,smiling"
"
      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”
  ","
    Marilyn Monroe
  ","attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst"
"
      “Be yourself; everyone else is already taken.”
  ","
    Oscar Wilde
  ","attributed-no-source,be-yourself,honesty,inspirational,misattributed-oscar-wilde"
"
      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
  ","
    Albert Einstein
  ","attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe"
"
      “So many books, so little time.”
  ","
    Frank Zappa
  ","books,humor"
"
      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”
  ","
    Bernard M. Baruch
  ","ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter"
"
      “A room without books is like a body without a soul.”
  ","
    Marcus Tullius Cicero
  ","attributed-no-source,books,simile,soul"
"
      “You've gotta dance like there's nobody watching,","
    William W. Purkey
  ","dance,heaven,hurt,inspirational,life,love,sing"
"
      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
  ","
    Dr. Seuss
  ","attributed-no-source,dreams,love,reality,sleep"
"
      “You only live once, but if you do it right, once is enough.”
  ","
    Mae West
  ","humor,life"
"
      “Be the change that you wish to see in the world.”
  ","
    Mahatma Gandhi
  ","action,change,inspirational,philosophy,wish"
"
      “In three words I can sum up everything I've learned about life: it goes on.”
  ","
    Robert Frost
  ",life
"
      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”
  ","
    J.K. Rowling,
  ",
"
      “Don’t walk in front of me… I may not follow","
    Albert Camus
  ","attributed-no-source,friends,friendship,misattributed-albert-camus"
"
      “No one can make you feel inferior without your consent.”
  ","
    Eleanor Roosevelt,
  ","confidence,inspirational,wisdom"
"
      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”
  ","
    C.S. Lewis,
  ",friendship
"
      “If you tell the truth, you don't have to remember anything.”
  ","
    Mark Twain
  ","lies,lying,memory,truth"
"
      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”
  ","
    Maya Angelou
  ",
"
      “A friend is someone who knows all about you and still loves you.”
  ","
    Elbert Hubbard
  ","friend,friendship,knowledge,love"
"
      “Always forgive your enemies; nothing annoys them so much.”
  ","
    Oscar Wilde
  ","attributed-no-source,enemies,forgiveness,strategy"
"
      “To live is the rarest thing in the world. Most people exist, that is all.”
  ","
    Oscar Wilde
  ",life
"
      “Live as if you were to die tomorrow. Learn as if you were to live forever.”
  ","
    Mahatma Gandhi
  ","carpe-diem,education,inspirational,learning"
"
      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”
  ","
    Martin Luther King Jr.,
  ","darkness,drive-out,hate,inspirational,light,love,peace"
"
      “I am so clever that sometimes I don't understand a single word of what I am saying.”
  ","
    Oscar Wilde,
  ","intelligence,self-deprecation"
"
      “Without music, life would be a mistake.”
  ","
    Friedrich Nietzsche,
  ","inspirational,music,philosophy"
"
      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”
  ","
    Ralph Waldo Emerson
  ","accomplishment,attributed-no-source,be-yourself,conformity,individuality"
"
      “We accept the love we think we deserve.”
  ","
    Stephen Chbosky,
  ","inspirational,love"
